YR_MO,CALL_DATE,AGENT_KEY,CALLS,HANDLE_TIME,CALL_REGEN,CALLS_WITH_OFFER,CALLS_WITH_ACCEPT,CALLS_OFFER_APPLIED,TRANSFERS,METRIC,TARGET,EFF_DT,TERM_DT,AGENT_ID,AGENT_NAME,TEAM_LEAD_ID,TEAM_LEAD_NAME,CALL_CENTER
201706,2017-06-01,12465,34,25710,5,31,22,19,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-02,12465,37,24506,4,34,27,19,3,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-04,12465,38,25249,5,35,27,23,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-05,12465,32,24019,3,29,23,17,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-06,12465,36,24810,6,33,25,20,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-08,12465,40,25576,4,37,28,24,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-09,12465,34,24067,5,32,24,18,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-11,12465,34,25112,6,32,27,20,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-12,12465,37,24054,5,34,26,20,3,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-13,12465,38,24225,7,38,31,22,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-15,12465,37,24964,7,36,26,20,3,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-16,12465,34,24992,6,33,30,22,2,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
201706,2017-06-18,12465,38,24530,6,38,31,24,3,AHT,780,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
